nodes1	label	nodes2
CD44	activation	EGFR
Afatinib	inhibition	EGFR
EGF	activation	EGFR
JQ1	inhibition	BRD4
(TGFR_TGFb)	activation	BRD4
BRD4	activation	NR5A2 
NR5A2 	activation	GDF15
GSK_3b	activation	CXCR4 
CXCR4 	activation	MMP2 
(TGFR_TGFb)	activation	KRT17
MMP2 	activation	(EGFR_EGF)
EGFR	activation	(EGFR_EGF)
HGFR	activation	(HGFR_HGF)
RAF	activation	(TGFR_TGFb)
ERK2	activation	(TGFR_TGFb)
TGFR	activation	(TGFR_TGFb)
CD44	activation	SRC
PKCd	activation	SRC
(EGFR_EGF)	activation	SRC
SRC	activation	SHP2
(HGFR_HGF)	activation	PLCg
(FGF2_FGFR)	activation	PLCg
(EGFR_EGF)	activation	PLCg
PLCg	activation	PKC
CD44	activation	HGFR
HGF	activation	HGFR
PKC	activation	RAF
K_Ras	activation	RAF
PKCd	activation	RAF
RAF	activation	MEK
AKT/PKB	inhibition	MEK
(K_Ras)	activation	K_Ras
ALK	activation	K_Ras
(FGF2_FGFR)	activation	K_Ras
(TGFR_TGFb)	activation	K_Ras
(HGFR_HGF)	activation	K_Ras
SRC	activation	K_Ras
Jak	activation	K_Ras
SHP2	activation	K_Ras
(EGFR_EGF)	activation	K_Ras
PLCg	activation	PKCd
SRC	activation	MUC1
MEK	activation	ERK
CD44	activation	TGFR
TGFb	activation	TGFR
(FGF2_FGFR)	activation	Vimentin
HSF1	activation	Vimentin
SNAIL	activation	Vimentin
K_Ras	activation	Vimentin
TCF/LEF	activation	EMT
Vimentin	activation	EMT
SNAIL	activation	EMT
E_cadherin	inhibition	EMT
MYC	activation	Proliferation
GDF15	activation	Proliferation
STAT	activation	Proliferation
ERK2	inhibition	Proliferation
ERK1	activation	Proliferation
mTOR	activation	Proliferation
SNAIL	activation	Proliferation
casp_9/3/7	activation	Apoptosis
GSK_3b	inhibition	b_catenin
Smad_2/3/4	activation	b_catenin
(FGF2_FGFR)	activation	b_catenin
E_cadherin	inhibition	b_catenin
AURKA	activation	b_catenin
MUC1	activation	b_catenin
b_catenin	activation	TCF/LEF
Smad_2/3/4	activation	SNAIL
GLI1	activation	SNAIL
GSK_3b	inhibition	SNAIL
b_catenin	activation	SNAIL
AURKA	inhibition	SNAIL
AKT/PKB	activation	SNAIL
Smad_2/3/4	activation	PTEN
p53	activation	PTEN
SRC	activation	PI3K
PTEN	inhibition	PI3K
ALK	activation	PI3K
(EGFR_EGF)	activation	PI3K
SHP2	activation	PI3K
(HGFR_HGF)	activation	PI3K
(TGFR_TGFb)	activation	PI3K
K_Ras	activation	PI3K
Jak	activation	PI3K
(FGF2_FGFR)	activation	PI3K
PTEN	inhibition	PIP3
PI3K	activation	PIP3
Metformin	activation	AMPK
MYC	activation	AMPK
p53	inhibition	AMPK
AKT/PKB	inhibition	TSC1/2
ERK1	inhibition	TSC1/2
GSK_3b	activation	TSC1/2
AMPK	activation	TSC1/2
CD44	activation	AKT/PKB
PIP3	activation	AKT/PKB
GSK_3b	inhibition	MYC
Smad_2/3/4	inhibition	MYC
BRD4	activation	MYC
STAT	activation	MYC
b_catenin	activation	MYC
ERK	activation	MYC
K_Ras	activation	MYC
TCF/LEF	activation	MYC
AKT/PKB	activation	MYC
(TGFR_TGFb)	inhibition	MYC
GLI1	activation	MYC
TSC1/2	inhibition	mTOR
AKT/PKB	activation	mTOR
Rapamycin	inhibition	mTOR
(FGF2_FGFR)	inhibition	E_cadherin
SNAIL	inhibition	E_cadherin
MDM2	inhibition	E_cadherin
HSF1	inhibition	E_cadherin
(TGFR_TGFb)	inhibition	GSK_3b
b_catenin	inhibition	GSK_3b
E_cadherin	inhibition	GSK_3b
AURKA	activation	GSK_3b
AKT/PKB	inhibition	GSK_3b
BAX	activation	Cy/C
AURKA	inhibition	BAX
BCL2	inhibition	BAX
p53	activation	BAX
GSK_3b	activation	BAX
ATR	activation	p53
AMPK	activation	p53
MDM2	inhibition	p53
SNAIL	inhibition	p53
Vimentin	inhibition	p53
PTEN	activation	p53
MYC	inhibition	p21
p53	activation	p21
STAT	activation	p21
AKT/PKB	inhibition	p21
AKT/PKB	activation	MDM2
p53	activation	MDM2
MEK	inhibition	BAD
AKT/PKB	inhibition	BAD
ERK	activation	BCL2
BAD	inhibition	BCL2
p53	inhibition	BCL2
Gemcitabine	inhibition	BCL2
STAT	activation	BCL2
AKT/PKB	activation	BCL2
AURKA	activation	BCL2
GLI1	activation	BCL2
b_catenin	activation	CD44
Erdafitinib	inhibition	FGFR
FGF2	activation	FGFR
FGFR	activation	(FGF2_FGFR)
(EGFR_EGF)	activation	Jak
SRC	activation	STAT
(FGF2_FGFR)	activation	STAT
SOCS3	inhibition	STAT
Jak	activation	STAT
(HGFR_HGF)	activation	STAT
SRC	activation	STAT
AMPK	inhibition	HSF1
Shh	activation	PTCH1
GLI1	activation	PTCH1
PTCH1	activation	shh_PTCH1
shh_PTCH1	activation	SMO
MEK	activation	GLI1
SMO	activation	GLI1
GSK_3b	inhibition	GLI1
p53	inhibition	GLI1
GANT_61 	inhibition	GLI1
p53	inhibition	GLI1
BRD4	activation	GLI1
MYC	activation	GLI1
ERK1	inhibition	Smad_2/3/4
(TGFR_TGFb)	activation	Smad_2/3/4
AURKA	inhibition	ATR
PKC	activation	AURKA
p21	inhibition	AURKA
K_Ras	activation	AURKA
Alisertib	inhibition	AURKA
ERK	activation	AURKA
Cy/C	activation	casp_9/3/7
ERK	activation	ERK1
KRT17	activation	ERK1
ERK	activation	ERK2
Vimentin	activation	ERK2

