node1	label	node2
EGF	activation	EGFR
gefitinib	inhibition	EGFR
CD44	activation	EGFR
EGFR	activation	(EGFR-EGF)
HGFR	activation	(HGFR-HGF)
TGFR	activation	(TGFR-TGFb)
RAF	activation	(TGFR-TGFb)
ERK2	activation	(TGFR-TGFb)
(EGFR-EGF)	activation	SRC
PKCd	activation	SRC
CD44	activation	SRC
SRC	activation	SHP2
SHP099	inhibition	SHP2
crizotinib	inhibition	ALK
(EGFR-EGF)	activation	PLCg
(HGFR-HGF)	activation	PLCg
PLCg	activation	PKC
CD44	activation	HGFR
HGF	activation	HGFR
KRAS	activation	RAF
PKCd	activation	RAF
PKC	activation	RAF
AKT/PKB	inhibition	MEK
RAF	activation	MEK
PLCg	activation	PKCd
ERK1	inhibition	SMADs
(TGFR-TGFb)	activation	SMADs
MEK	activation	ERK
vimentin	activation	ERK2
ERK	activation	ERK2
TGFb	activation	TGFR
CD44	activation	TGFR
NUAK1	inhibition	TGFR
ERK	activation	ERK1
vimentin	activation	EMT
TCF/LEF	activation	EMT
E-cadherin	inhibition	EMT
SNAIL	activation	EMT
ERK1	activation	proliferation
c-Myc	activation	proliferation
mTOR	activation	proliferation
SNAIL	activation	proliferation
NRF2	activation	proliferation
ERK2	inhibition	proliferation
NRF2	inhibition	apoptosis
CASPASES	activation	apoptosis
AURKA	activation	b-catenin
GSK-3b	inhibition	b-catenin
SMADs	activation	b-catenin
E-cadherin	inhibition	b-catenin
MUC-1	activation	b-catenin
b-catenin	activation	TCF/LEF
AKT/PKB	activation	SNAIL
SMADs	activation	SNAIL
b-catenin	activation	SNAIL
AURKA	inhibition	SNAIL
P53	activation	PTEN
SMADs	activation	PTEN
ALK	activation	PI3K
KRAS	activation	PI3K
SHP2	activation	PI3K
(TGFR-TGFb)	activation	PI3K
(EGFR-EGF)	activation	PI3K
(HGFR-HGF)	activation	PI3K
PTEN	inhibition	PIP3
PI3K	activation	PIP3
c-Myc	activation	NUAK1
LKB1	activation	NUAK1
AURKA	activation	LKB1
c-Myc	activation	AMPK
NUAK1	activation	AMPK
LKB1	activation	AMPK
GSK-3b	activation	TSC1/2
AKT/PKB	inhibition	TSC1/2
ERK1	inhibition	TSC1/2
AMPK	activation	TSC1/2
CD44	activation	AKT/PKB
PIP3	activation	AKT/PKB
NUAK1	activation	mTOR
TSC1/2	inhibition	mTOR
AKT/PKB	activation	mTOR
SNAIL	inhibition	E-cadherin
MDM2	inhibition	E-cadherin
AKT/PKB	inhibition	GSK-3b
b-catenin	inhibition	GSK-3b
(TGFR-TGFb)	inhibition	GSK-3b
E-cadherin	inhibition	GSK-3b
AURKA	activation	GSK-3b
BAX	activation	Cy/C
AKT/PKB	inhibition	Cy/C
AURKA	inhibition	BAX
P53	activation	BAX
GSK-3b	activation	BAX
BCL2	inhibition	BAX
AURKA	inhibition	ATR
alisertib	inhibition	AURKA
KRAS	activation	AURKA
P21	inhibition	AURKA
PKC	activation	AURKA
TGFb	activation	MDM2
P53	activation	MDM2
KEAP1	inhibition	NRF2
MEK	inhibition	BAD
AKT/PKB	inhibition	BAD
ERK	activation	BCL2
BAD	inhibition	BCL2
P53	inhibition	BCL2
AURKA	activation	BCL2
AKT/PKB	activation	BCL2
b-catenin	activation	CD44
Cy/C	activation	CASPASES
KRAS	activation	c-Myc
GSK-3b	inhibition	c-Myc
b-catenin	activation	c-Myc
AKT/PKB	activation	c-Myc
TCF/LEF	activation	c-Myc
SMADs	inhibition	c-Myc
ERK	activation	c-Myc
SHP2	activation	KRAS
ALK	activation	KRAS
(EGFR-EGF)	activation	KRAS
AURKA	activation	KRAS
(HGFR-HGF)	activation	KRAS
(KRAS)	activation	KRAS
ARS-1620	inhibition	KRAS
(TGFR-TGFb)	activation	KRAS
KRAS	activation	vimentin
SNAIL	activation	vimentin
AMPK	activation	P53
PTEN	activation	P53
vimentin	inhibition	P53
MDM2	inhibition	P53
NUAK1	inhibition	P53
SNAIL	inhibition	P53
ATR	activation	P53
AKT/PKB	inhibition	P21
P53	activation	P21
SRC	activation	MUC-1

